papel;ranking_pl
SYNE3;1
BRAP3;2
PETR4;3
BRAP4;4
PETR3;5
JBSS3;6
HBRE3;7
EPAR3;8
EUCA3;9
FHER3;10
JALL3;11
RNEW11;12
EUCA4;13
RNEW3;14
RNEW4;15
SUZB3;16
BAZA3;17
TASA3;18
TASA4;19
BALM4;20
GOAU3;21
MYPK3;22
BNBR3;23
GOAU4;24
CLSC3;25
GGBR3;26
CLSC4;27
DMFN3;28
NEOE3;29
JHSF3;30
BBAS3;31
EALT4;32
BGIP4;33
LOGG3;34
CBAV3;35
BALM3;36
VALE3;37
CEBR5;38
CEBR6;39
TKNO4;40
GPAR3;41
CEBR3;42
GGBR4;43
EALT3;44
CAMB3;45
UNIP3;46
SAPR3;47
UCAS3;48
MDNE3;49
FESA4;50
MTSA4;51
SAPR11;52
UNIP6;53
MLAS3;54
SAPR4;55
PFRM3;56
NUTR3;57
ETER3;58
DEXP4;59
KLBN4;60
KLBN11;61
CGRA4;62
KEPL3;63
KLBN3;64
CGRA3;65
SOND6;66
FESA3;67
UNIP5;68
POSI3;69
PTBL3;70
RAPT3;71
MOVI3;72
HBOR3;73
ABCB4;74
COCE5;75
BMEB4;76
TECN3;77
DEXP3;78
SOND5;79
POMO3;80
BMGB4;81
RANI3;82
AURE3;83
ITSA4;84
USIM5;85
ITSA3;86
BMEB3;87
CCRO3;88
MELK3;89
CAML3;90
RAPT4;91
BRSR6;92
USIM3;93
VULC3;94
CEEB5;95
CSUD3;96
BEES3;97
SHUL4;98
BBDC3;99
QUAL3;100
ALLD3;101
CALI3;102
EQMA3B;103
BRSR3;104
TRPL4;105
RSUL4;106
CEEB3;107
CMIG4;108
ENGI4;109
ATOM3;110
PTNT4;111
ROMI3;112
TAEE11;113
TAEE3;114
TAEE4;115
BEES4;116
ENGI11;117
BMIN4;118
COCE3;119
CSRN5;120
CPFE3;121
EVEN3;122
CSRN6;123
WLMM3;124
BRIV4;125
POMO4;126
JOPA3;127
ITUB3;128
LEVE3;129
DXCO3;130
REDE3;131
BBDC4;132
WIZC3;133
BRIV3;134
AURA33;135
TUPY3;136
EKTR4;137
CRPG6;138
BPAC5;139
CRPG5;140
BRBI11;141
WLMM4;142
DMVF3;143
EKTR3;144
BMKS3;145
CYRE3;146
SANB3;147
CSRN3;148
BRKM6;149
SLCE3;150
EZTC3;151
PRNR3;152
ITUB4;153
BRGE3;154
SANB11;155
BRGE8;156
BRGE11;157
BRGE12;158
PINE4;159
UGPA3;160
RPAD6;161
ALUP4;162
ALUP3;163
ALUP11;164
BRKM5;165
CXSE3;166
TRPL3;167
CGAS3;168
BRSR5;169
BRKM3;170
ENAT3;171
TGMA3;172
RPAD3;173
VBBR3;174
RPAD5;175
LOGN3;176
PRIO3;177
SANB4;178
PLPL3;179
CSMG3;180
CIEL3;181
BMIN3;182
BRGE6;183
EQPA3;184
SMTO3;185
CMIG3;186
LAVV3;187
CMIN3;188
CGAS5;189
BPAN4;190
PTNT3;191
USIM6;192
BPAC11;193
FIQE3;194
BSLI4;195
RECV3;196
CURY3;197
BTTL3;198
MTRE3;199
OFSA3;200
CRIV3;201
AZEV4;202
SBFG3;203
JSLG3;204
BEEF3;205
ENGI3;206
TRIS3;207
AZEV3;208
GMAT3;209
TTEN3;210
CRIV4;211
BBSE3;212
GRND3;213
SBSP3;214
VITT3;215
RDNI3;216
WHRL3;217
BSLI3;218
EGIE3;219
WHRL4;220
EQTL3;221
ENBR3;222
SOJA3;223
EQPA7;224
MILS3;225
MRSA5B;226
DIRR3;227
FRAS3;228
BMOB3;229
SIMH3;230
ENMT3;231
DOHL4;232
AFLT3;233
ODPV3;234
BLAU3;235
LREN3;236
ABEV3;237
ENMT4;238
PARD3;239
PSSA3;240
BOAS3;241
CSNA3;242
GEPA3;243
FLRY3;244
HYPE3;245
CRFB3;246
VIVT3;247
BPAC3;248
VIVA3;249
GEPA4;250
LVTC3;251
ELET3;252
GGPS3;253
PORT3;254
DESK3;255
STBP3;256
B3SA3;257
EMAE4;258
ELET6;259
MDIA3;260
PNVL3;261
ENEV3;262
TIMS3;263
TFCO4;264
VVEO3;265
MULT3;266
LPSB3;267
CPLE3;268
ASAI3;269
NGRD3;270
INTB3;271
ARZZ3;272
JPSA3;273
ECOR3;274
SOMA3;275
CSAB4;276
CPLE11;277
AGRO3;278
PATI3;279
CPLE6;280
VAMO3;281
HBTS5;282
AMER3;283
CSAN3;284
CSED3;285
APER3;286
AMBP3;287
VLID3;288
MATD3;289
RENT3;290
BRIT3;291
LIPR3;292
ELET5;293
TOTS3;294
ALSO3;295
WEGE3;296
ARML3;297
RADL3;298
AESB3;299
RDOR3;300
MODL3;301
RRRP3;302
GUAR3;303
BAUH4;304
SQIA3;305
LUXM4;306
MOAR3;307
ALPA3;308
ALPA4;309
PETZ3;310
RAIL3;311
CPLE5;312
PDTC3;313
LJQQ3;314
RAIZ4;315
IGTI3;316
LWSA3;317
IGTI11;318
CEAB3;319
