papel;ranking_psr
CTNM4;1
CEDO4;2
AMER3;3
SGPS3;4
CEDO3;5
PFRM3;6
LIGT3;7
CTNM3;8
CTSA4;9
ALLD3;10
AMAR3;11
VBBR3;12
VIIA3;13
CTSA3;14
JOPA3;15
MYPK3;16
UGPA3;17
JBSS3;18
NEXP3;19
RAIZ4;20
DMVF3;21
TPIS3;22
EPAR3;23
BRFS3;24
BRKM6;25
AGXY3;26
GOAU3;27
CEAB3;28
BRKM5;29
BRKM3;30
FHER3;31
GOAU4;32
PGMN3;33
CLSC3;34
CLSC4;35
POSI3;36
RAPT3;37
TEND3;38
NUTR3;39
IRBR3;40
PCAR3;41
BEEF3;42
RAPT4;43
MEAL3;44
CRFB3;45
SYNE3;46
CAML3;47
GUAR3;48
USIM5;49
SIMH3;50
ALPK3;51
DEXP4;52
SEQL3;53
USIM3;54
MOVI3;55
SEER3;56
DEXP3;57
CALI3;58
HBOR3;59
EALT4;60
PTNT4;61
LJQQ3;62
EUCA3;63
LVTC3;64
JSLG3;65
SBFG3;66
DASA3;67
EALT3;68
EUCA4;69
KRSA3;70
VLID3;71
ZAMP3;72
AZEV4;73
COCE5;74
RDNI3;75
TUPY3;76
PNVL3;77
AZEV3;78
WEST3;79
NEOE3;80
GFSA3;81
ANIM3;82
AERI3;83
EVEN3;84
CBEE3;85
MRVE3;86
ASAI3;87
POMO3;88
WLMM3;89
PRNR3;90
PTBL3;91
MTSA4;92
WLMM4;93
DOHL4;94
MBLY3;95
PTNT3;96
MLAS3;97
GGBR3;98
USIM6;99
PETR4;100
COCE3;101
YDUQ3;102
PATI3;103
SHOW3;104
PDTC3;105
ETER3;106
CSNA3;107
TECN3;108
CAMB3;109
GMAT3;110
BTTL3;111
ESPA3;112
ENGI4;113
NTCO3;114
BALM4;115
ECOR3;116
GGBR4;117
MDNE3;118
MTRE3;119
CSED3;120
POMO4;121
PETR3;122
ENGI11;123
MELK3;124
WHRL3;125
WHRL4;126
PSSA3;127
DXCO3;128
CBAV3;129
TASA3;130
MGLU3;131
UCAS3;132
TKNO4;133
SOND6;134
EMBR3;135
VVEO3;136
CMIG4;137
CEEB5;138
TASA4;139
BALM3;140
PLPL3;141
QUAL3;142
REDE3;143
CEEB3;144
CSAN3;145
SOND5;146
EQMA3B;147
ENBR3;148
BAHI3;149
CPLE3;150
AMBP3;151
CSUD3;152
SHUL4;153
CGRA4;154
CGRA3;155
CPLE11;156
COGN3;157
CPLE6;158
SAPR3;159
CRPG6;160
CVCB3;161
CRPG5;162
EKTR4;163
TRIS3;164
HAPV3;165
BMOB3;166
CPFE3;167
EKTR3;168
ROMI3;169
CGAS3;170
SAPR11;171
GGPS3;172
FRAS3;173
SAPR4;174
TGMA3;175
CSMG3;176
TTEN3;177
ENGI3;178
CMIG3;179
CGAS5;180
ONCO3;181
HBSA3;182
