papel;ranking_roic
ATOM3;1
BRBI11;2
UNIP5;3
UNIP3;4
UNIP6;5
PSSA3;6
KEPL3;7
TASA3;8
TASA4;9
SOND5;10
SOND6;11
EPAR3;12
SYNE3;13
FESA4;14
FESA3;15
PRIO3;16
ODPV3;17
RSUL4;18
PETR3;19
PETR4;20
CMIN3;21
CGAS3;22
CGAS5;23
TFCO4;24
LEVE3;25
MTSA4;26
BLAU3;27
GGBR3;28
GGBR4;29
WEGE3;30
GOAU3;31
GOAU4;32
CAMB3;33
PLPL3;34
RANI3;35
VALE3;36
RECV3;37
EQPA3;38
EQPA7;39
CCRO3;40
WIZC3;41
CURY3;42
BTTL3;43
PTBL3;44
CEBR6;45
CEBR5;46
CEBR3;47
BEEF3;48
EKTR3;49
EKTR4;50
MILS3;51
SHOW3;52
CSUD3;53
WHRL3;54
WHRL4;55
VITT3;56
SLCE3;57
QUAL3;58
BRKM6;59
BRKM5;60
BRKM3;61
JBSS3;62
SHUL4;63
FHER3;64
AURA33;65
INTB3;66
CSRN3;67
CSRN6;68
CSRN5;69
SUZB3;70
TGMA3;71
DEXP4;72
DEXP3;73
ENMT3;74
ENMT4;75
WLMM3;76
WLMM4;77
ENAT3;78
PRNR3;79
VULC3;80
LREN3;81
VLID3;82
TOTS3;83
ASAI3;84
EQMA3B;85
FRAS3;86
KLBN3;87
KLBN4;88
KLBN11;89
B3SA3;90
LVTC3;91
REDE3;92
RAPT3;93
RAPT4;94
UGPA3;95
OFSA3;96
PARD3;97
TTEN3;98
CBAV3;99
TUPY3;100
CPFE3;101
MOVI3;102
ABEV3;103
CSNA3;104
ETER3;105
LUXM4;106
VIVA3;107
ARZZ3;108
EGIE3;109
TKNO4;110
VBBR3;111
GGPS3;112
CEEB5;113
CEEB3;114
SAPR11;115
SAPR3;116
SAPR4;117
RADL3;118
AFLT3;119
ENBR3;120
USIM5;121
USIM3;122
USIM6;123
CIEL3;124
TAEE11;125
TAEE3;126
TAEE4;127
BMOB3;128
BOAS3;129
SOJA3;130
VAMO3;131
EUCA4;132
EUCA3;133
TECN3;134
CGRA4;135
CGRA3;136
STBP3;137
FIQE3;138
ROMI3;139
FLRY3;140
PORT3;141
NUTR3;142
GMAT3;143
SIMH3;144
NEOE3;145
ARML3;146
HYPE3;147
LOGN3;148
ALUP4;149
ALUP11;150
ALUP3;151
PFRM3;152
APER3;153
MULT3;154
MRSA5B;155
ENGI3;156
ENGI11;157
ENGI4;158
EALT3;159
EALT4;160
COCE3;161
COCE5;162
AGXY3;163
GEPA4;164
GEPA3;165
DXCO3;166
POSI3;167
SMTO3;168
JHSF3;169
CMIG3;170
CMIG4;171
AMBP3;172
EQTL3;173
DMVF3;174
JSLG3;175
MYPK3;176
PTNT4;177
PTNT3;178
RDOR3;179
CRPG6;180
CRPG5;181
TRPL3;182
TRPL4;183
CSMG3;184
GPAR3;185
HBRE3;186
AMAR3;187
ALPK3;188
VVEO3;189
UCAS3;190
ECOR3;191
CSED3;192
CPLE11;193
CPLE3;194
CPLE5;195
CPLE6;196
SBSP3;197
VIIA3;198
RENT3;199
LPSB3;200
DIRR3;201
CRFB3;202
AERI3;203
GRND3;204
RRRP3;205
MDIA3;206
DESK3;207
BALM4;208
BALM3;209
ALPA4;210
ALPA3;211
MATD3;212
IGTI11;213
IGTI3;214
JOPA3;215
CEDO3;216
CEDO4;217
TIMS3;218
ALLD3;219
LIGT3;220
ANIM3;221
CAML3;222
RAIL3;223
TPIS3;224
CLSC3;225
CLSC4;226
YDUQ3;227
SEER3;228
BRIT3;229
PETZ3;230
POMO4;231
POMO3;232
SBFG3;233
MELK3;234
ORVR3;235
LAVV3;236
AGRO3;237
CBEE3;238
ALSO3;239
JALL3;240
SOMA3;241
ENEV3;242
CYRE3;243
ONCO3;244
VIVT3;245
PGMN3;246
SQIA3;247
PATI3;248
PNVL3;249
HBTS5;250
ELMD3;251
CSAN3;252
TRIS3;253
KRSA3;254
LJQQ3;255
MDNE3;256
JPSA3;257
EVEN3;258
AESB3;259
SCAR3;260
CALI3;261
RAIZ4;262
EMBR3;263
EZTC3;264
PDTC3;265
BRPR3;266
AMER3;267
MEGA3;268
MGLU3;269
COGN3;270
DASA3;271
NTCO3;272
HBSA3;273
ZAMP3;274
LOGG3;275
PCAR3;276
AURE3;277
CEAB3;278
ELET6;279
ELET3;280
ELET5;281
ESPA3;282
BAUH4;283
GUAR3;284
MTRE3;285
RDNI3;286
SEQL3;287
ITSA4;288
ITSA3;289
AALR3;290
BRFS3;291
DOHL4;292
HBOR3;293
LWSA3;294
SMFT3;295
NGRD3;296
EMAE4;297
MRVE3;298
